conta,sum
10485598.0,80.0
10485599.0,80.0
10485645.0,80.0
10485727.0,80.0
10485772.0,80.0
10485802.0,80.0
10485836.0,80.0
10485838.0,80.0
10485847.0,80.0
10485850.0,80.0
10486245.0,80.0
10486262.0,80.0
10486264.0,80.0
10486274.0,80.0
10486555.0,130.0
10486668.0,80.0
10486669.0,80.0
10486671.0,80.0
10486799.0,80.0
10486800.0,80.0
10486808.0,80.0
10487102.0,80.0
10487402.0,80.0
10487409.0,80.0
10487548.0,80.0
10487550.0,80.0
10487590.0,80.0
10487593.0,80.0
10488779.0,80.0
10488781.0,80.0
10488850.0,80.0
10488851.0,80.0
10489229.0,80.0
10489268.0,80.0
10489269.0,80.0
10489279.0,80.0
10489280.0,80.0
10489897.0,120.0
10490095.0,120.0
10490131.0,120.0
10490348.0,80.0
10490350.0,80.0
10490370.0,80.0
10490492.0,80.0
10490547.0,80.0
10490704.0,80.0
10491063.0,80.0
10491278.0,80.0
10491283.0,80.0
10491284.0,80.0
10491550.0,80.0
10491633.0,80.0
10491673.0,80.0
10491727.0,80.0
10491730.0,80.0
10491738.0,80.0
10492427.0,80.0
10492912.0,190.0
10493060.0,80.0
10493062.0,80.0
10493068.0,80.0
10493073.0,80.0
10493075.0,80.0
10493700.0,80.0
10493707.0,80.0
10493709.0,80.0
10493711.0,80.0
10494176.0,80.0
10494458.0,80.0
10494477.0,80.0
10494563.0,80.0
10494565.0,80.0
10494566.0,80.0
10494569.0,80.0
10494571.0,80.0
10494572.0,80.0
10494824.0,80.0
10494825.0,80.0
10494827.0,80.0
10495078.0,80.0
10495089.0,80.0
10495097.0,80.0
10495107.0,80.0
10495728.0,80.0
10498965.0,80.0
10498967.0,80.0
10499165.0,80.0
10499555.0,80.0
10499557.0,80.0
10499598.0,80.0
10499599.0,80.0
10499605.0,80.0
10499607.0,80.0
10499830.0,80.0
10500679.0,202.25
10500743.0,80.0
10500745.0,80.0
10500750.0,80.0
10500758.0,80.0
10500769.0,80.0
10500770.0,80.0
10500771.0,110.0
10501199.0,80.0
10501391.0,110.0
10501560.0,110.0
10501632.0,80.0
10501741.0,80.0
10501742.0,80.0
10501743.0,80.0
10501744.0,80.0
10501745.0,80.0
10501768.0,80.0
10501951.0,80.0
10503460.0,80.0
10503527.0,80.0
10503533.0,80.0
10503580.0,80.0
10503589.0,80.0
10503591.0,80.0
10503632.0,80.0
10503634.0,80.0
10504054.0,225.0
10504055.0,80.0
10504057.0,80.0
10504061.0,80.0
10504063.0,80.0
10504065.0,80.0
10504066.0,80.0
10504214.0,80.0
10504217.0,80.0
10505473.0,600.0
10505597.0,760.0
10505756.0,910.0
10505930.0,780.0
10506167.0,80.0
10506242.0,80.0
10506267.0,80.0
10506281.0,80.0
10506282.0,80.0
10506283.0,80.0
10506443.0,80.0
10506444.0,80.0
10506445.0,80.0
10506516.0,80.0
10506528.0,80.0
10506529.0,80.0
10506544.0,80.0
10506555.0,80.0
10507464.0,80.0
10507476.0,80.0
10507482.0,80.0
10507483.0,80.0
10507485.0,84.0
10507489.0,84.0
10507490.0,84.0
10507494.0,84.0
10507501.0,80.0
10507502.0,80.0
10507504.0,80.0
10507564.0,80.0
10507755.0,80.0
10508020.0,80.0
10508022.0,80.0
10508481.0,80.0
10508483.0,80.0
10510684.0,80.0
10510686.0,80.0
10510687.0,80.0
10510836.0,80.0
10511648.0,80.0
10511752.0,80.0
10511848.0,80.0
10511850.0,80.0
10511984.0,80.0
10511987.0,80.0
10511990.0,80.0
10512001.0,80.0
10512003.0,80.0
10512005.0,80.0
10512020.0,80.0
10512022.0,80.0
10512062.0,80.0
10514175.0,80.0
10514177.0,80.0
10514181.0,80.0
10514268.0,80.0
10514353.0,80.0
10514764.0,80.0
10515501.0,80.0
10515795.0,80.0
10515822.0,80.0
10515853.0,80.0
10516166.0,80.0
10516287.0,80.0
10516429.0,80.0
10516920.0,80.0
10517062.0,80.0
10517067.0,80.0
10517078.0,80.0
10517085.0,80.0
10517122.0,80.0
10517129.0,80.0
10517283.0,80.0
10517460.0,80.0
10517569.0,80.0
10518132.0,80.0
10518133.0,80.0
10518134.0,80.0
10518135.0,80.0
10518136.0,80.0
10518137.0,80.0
10518139.0,80.0
10518140.0,80.0
10518672.0,80.0
10518715.0,80.0
10518718.0,80.0
10518720.0,80.0
10519205.0,80.0
10519206.0,80.0
