conta,sum,outlier
10506282.0,80.0,Normal
10506283.0,80.0,Normal
10506443.0,80.0,Normal
10506444.0,80.0,Normal
10506445.0,80.0,Normal
10506516.0,80.0,Normal
10506528.0,80.0,Normal
10506529.0,80.0,Normal
10506544.0,80.0,Normal
10506555.0,80.0,Normal
10507464.0,80.0,Normal
10507476.0,80.0,Normal
10507482.0,80.0,Normal
10507483.0,80.0,Normal
10507485.0,84.0,Normal
10507489.0,84.0,Normal
10507490.0,84.0,Normal
10507494.0,84.0,Normal
10507501.0,80.0,Normal
10507502.0,80.0,Normal
10507504.0,80.0,Normal
10507564.0,80.0,Normal
10507755.0,80.0,Normal
10508020.0,80.0,Normal
10508022.0,80.0,Normal
10508481.0,80.0,Normal
10508483.0,80.0,Normal
10510684.0,80.0,Normal
10510686.0,80.0,Normal
10510687.0,80.0,Normal
10510836.0,80.0,Normal
10511648.0,80.0,Normal
10511752.0,80.0,Normal
10511848.0,80.0,Normal
10511850.0,80.0,Normal
10511984.0,80.0,Normal
10511987.0,80.0,Normal
10511990.0,80.0,Normal
10512001.0,80.0,Normal
10512003.0,80.0,Normal
10512005.0,80.0,Normal
10512020.0,80.0,Normal
10512022.0,80.0,Normal
10512062.0,80.0,Normal
10514175.0,80.0,Normal
10514177.0,80.0,Normal
10514181.0,80.0,Normal
10514268.0,80.0,Normal
10514353.0,80.0,Normal
10514764.0,80.0,Normal
10515501.0,80.0,Normal
10515795.0,80.0,Normal
10515822.0,80.0,Normal
10515853.0,80.0,Normal
10516166.0,80.0,Normal
10516287.0,80.0,Normal
10516429.0,80.0,Normal
10516920.0,80.0,Normal
10517062.0,80.0,Normal
10517067.0,80.0,Normal
10517078.0,80.0,Normal
10517085.0,80.0,Normal
10517122.0,80.0,Normal
10517129.0,80.0,Normal
10517283.0,80.0,Normal
10517460.0,80.0,Normal
10517569.0,80.0,Normal
10518132.0,80.0,Normal
10518133.0,80.0,Normal
10518134.0,80.0,Normal
10518135.0,80.0,Normal
10518136.0,80.0,Normal
10518137.0,80.0,Normal
10518139.0,80.0,Normal
10518140.0,80.0,Normal
10518672.0,80.0,Normal
10518715.0,80.0,Normal
10518718.0,80.0,Normal
10518720.0,80.0,Normal
10519205.0,80.0,Normal
10519206.0,80.0,Normal
10519533.0,80.0,Normal
10519536.0,110.0,Normal
10519547.0,80.0,Normal
10519563.0,80.0,Normal
10519598.0,84.0,Normal
10519761.0,80.0,Normal
10519784.0,80.0,Normal
10519790.0,80.0,Normal
10519794.0,80.0,Normal
10519795.0,80.0,Normal
10519797.0,80.0,Normal
10519800.0,80.0,Normal
10519801.0,80.0,Normal
10519847.0,80.0,Normal
10520131.0,150.0,Normal
10520240.0,80.0,Normal
10520621.0,80.0,Normal
10520649.0,80.0,Normal
10520660.0,80.0,Normal
10520679.0,80.0,Normal
10520689.0,80.0,Normal
10520692.0,80.0,Normal
10520702.0,80.0,Normal
10521052.0,80.0,Normal
10521267.0,80.0,Normal
10521289.0,80.0,Normal
10522031.0,80.0,Normal
10522042.0,80.0,Normal
10524223.0,80.0,Normal
10524225.0,80.0,Normal
10524226.0,80.0,Normal
10524227.0,80.0,Normal
10524836.0,80.0,Normal
10525455.0,80.0,Normal
10525638.0,80.0,Normal
10525639.0,80.0,Normal
10525640.0,80.0,Normal
10525642.0,80.0,Normal
10525650.0,80.0,Normal
10526247.0,80.0,Normal
10526250.0,130.0,Normal
10526358.0,130.0,Normal
10526561.0,80.0,Normal
10526749.0,80.0,Normal
10526777.0,80.0,Normal
10526782.0,80.0,Normal
10526936.0,199.55000000000004,Normal
10526994.0,199.55000000000004,Normal
10527048.0,199.55,Normal
10527097.0,230.0,Normal
10527134.0,160.93000000000004,Normal
10527337.0,80.0,Normal
10527349.0,80.0,Normal
10527355.0,80.0,Normal
10527362.0,80.0,Normal
10527493.0,80.0,Normal
10527511.0,80.0,Normal
10528347.0,80.0,Normal
10528359.0,80.0,Normal
10528360.0,80.0,Normal
10528364.0,80.0,Normal
10528366.0,80.0,Normal
10528374.0,80.0,Normal
10528432.0,80.0,Normal
10528434.0,80.0,Normal
10528435.0,80.0,Normal
10528652.0,80.0,Normal
10528804.0,80.0,Normal
10529330.0,100.0,Normal
10529453.0,80.0,Normal
10529456.0,80.0,Normal
10529457.0,80.0,Normal
10529503.0,80.0,Normal
10529505.0,80.0,Normal
10529506.0,80.0,Normal
10529550.0,80.0,Normal
10529551.0,80.0,Normal
10529555.0,80.0,Normal
10529559.0,80.0,Normal
10529574.0,80.0,Normal
10529959.0,80.0,Normal
10530273.0,80.0,Normal
10531391.0,80.0,Normal
10531399.0,80.0,Normal
10531405.0,80.0,Normal
10531633.0,130.0,Normal
10531649.0,130.0,Normal
10532235.0,130.0,Normal
10532556.0,130.0,Normal
10533118.0,80.0,Normal
10533123.0,80.0,Normal
10533126.0,80.0,Normal
10533512.0,80.0,Normal
10533692.0,80.0,Normal
10533880.0,80.0,Normal
10533886.0,80.0,Normal
10533912.0,80.0,Normal
10533931.0,80.0,Normal
10533985.0,80.0,Normal
10534250.0,80.0,Normal
10534254.0,80.0,Normal
10534497.0,80.0,Normal
10534682.0,110.0,Normal
10535730.0,80.0,Normal
10536396.0,80.0,Normal
10536408.0,80.0,Normal
10536412.0,80.0,Normal
10536414.0,80.0,Normal
10536435.0,80.0,Normal
10536439.0,80.0,Normal
10536444.0,80.0,Normal
10536456.0,80.0,Normal
10536462.0,80.0,Normal
10536465.0,80.0,Normal
10536471.0,80.0,Normal
10536497.0,80.0,Normal
10536606.0,80.0,Normal
10536608.0,80.0,Normal
10536687.0,80.0,Normal
10537805.0,80.0,Normal
10537808.0,80.0,Normal
10537841.0,80.0,Normal
10537894.0,80.0,Normal
10537900.0,80.0,Normal
10537912.0,80.0,Normal
10537977.0,80.0,Normal
10539304.0,80.0,Normal
10539305.0,80.0,Normal
10539332.0,80.0,Normal
10539335.0,80.0,Normal
10539368.0,80.0,Normal
10542282.0,80.0,Normal
10542284.0,80.0,Normal
10542362.0,80.0,Normal
10543995.0,80.0,Normal
10543996.0,80.0,Normal
10543997.0,80.0,Normal
10544567.0,80.0,Normal
10544570.0,80.0,Normal
10544571.0,80.0,Normal
10544573.0,80.0,Normal
10544577.0,80.0,Normal
10544584.0,80.0,Normal
10544586.0,80.0,Normal
10544619.0,80.0,Normal
10544623.0,80.0,Normal
10544624.0,80.0,Normal
10544625.0,80.0,Normal
10544747.0,80.0,Normal
10544928.0,150.0,Normal
10544953.0,80.0,Normal
10544955.0,80.0,Normal
10544957.0,80.0,Normal
10544976.0,80.0,Normal
10544978.0,80.0,Normal
10544980.0,80.0,Normal
10545367.0,80.0,Normal
10545374.0,80.0,Normal
10545815.0,80.0,Normal
10545967.0,80.0,Normal
10545968.0,80.0,Normal
10545970.0,80.0,Normal
10545971.0,80.0,Normal
10545973.0,80.0,Normal
10545974.0,80.0,Normal
10545975.0,80.0,Normal
10546036.0,80.0,Normal
10546217.0,90.0,Normal
10546218.0,80.0,Normal
10546532.0,80.0,Normal
10546534.0,80.0,Normal
10546535.0,80.0,Normal
10546545.0,80.0,Normal
10546549.0,80.0,Normal
